unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,RO,2016,15153719.0
PAS,PAS_CRD,TOTAL,TOT,RS,2016,4414858.0
PAS,PAS_CRD,TOTAL,TOT,SE,2016,35952558.0
PAS,PAS_CRD,TOTAL,TOT,SI,2016,1404152.0
PAS,PAS_CRD,TOTAL,TOT,SK,2016,2158261.0
PAS,PAS_CRD,TOTAL,TOT,UK,2016,248868873.0
PAS,PAS_CRD,TOTAL,TOT,AT,2017,28327279.0
PAS,PAS_CRD,TOTAL,TOT,BE,2017,33260493.0
PAS,PAS_CRD,TOTAL,TOT,BG,2017,11092651.0
PAS,PAS_CRD,TOTAL,TOT,CH,2017,53564943.0
PAS,PAS_CRD,TOTAL,TOT,CY,2017,10238913.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2017,16245554.0
PAS,PAS_CRD,TOTAL,TOT,DE,2017,212389343.0
PAS,PAS_CRD,TOTAL,TOT,DK,2017,33261214.0
PAS,PAS_CRD,TOTAL,TOT,EE,2017,2635145.0
PAS,PAS_CRD,TOTAL,TOT,EL,2017,50170728.0
PAS,PAS_CRD,TOTAL,TOT,ES,2017,209824089.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2017,1040803424.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2017,938854476.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2017,1043072331.0
PAS,PAS_CRD,TOTAL,TOT,FI,2017,20054947.0
PAS,PAS_CRD,TOTAL,TOT,FR,2017,154096485.0
PAS,PAS_CRD,TOTAL,TOT,HR,2017,8843053.0
PAS,PAS_CRD,TOTAL,TOT,HU,2017,13350029.0
PAS,PAS_CRD,TOTAL,TOT,IE,2017,34271771.0
PAS,PAS_CRD,TOTAL,TOT,IS,2017,8318734.0
PAS,PAS_CRD,TOTAL,TOT,IT,2017,144306325.0
PAS,PAS_CRD,TOTAL,TOT,LT,2017,5246101.0
PAS,PAS_CRD,TOTAL,TOT,LU,2017,3554730.0
PAS,PAS_CRD,TOTAL,TOT,LV,2017,6077854.0
PAS,PAS_CRD,TOTAL,TOT,ME,2017,2173494.0
PAS,PAS_CRD,TOTAL,TOT,MK,2017,1861282.0
PAS,PAS_CRD,TOTAL,TOT,MT,2017,6007731.0
PAS,PAS_CRD,TOTAL,TOT,NL,2017,76240304.0
PAS,PAS_CRD,TOTAL,TOT,NO,2017,38739778.0
PAS,PAS_CRD,TOTAL,TOT,PL,2017,37684668.0
PAS,PAS_CRD,TOTAL,TOT,PT,2017,47673057.0
PAS,PAS_CRD,TOTAL,TOT,RO,2017,17934774.0
PAS,PAS_CRD,TOTAL,TOT,RS,2017,4828171.0
PAS,PAS_CRD,TOTAL,TOT,SE,2017,38456207.0
PAS,PAS_CRD,TOTAL,TOT,SI,2017,1682133.0
PAS,PAS_CRD,TOTAL,TOT,SK,2017,2402651.0
PAS,PAS_CRD,TOTAL,TOT,UK,2017,264629454.0
PAS,PAS_CRD,TOTAL,TOT,AT,2018,31138417.0
PAS,PAS_CRD,TOTAL,TOT,BE,2018,34506309.0
PAS,PAS_CRD,TOTAL,TOT,BG,2018,12137714.0
PAS,PAS_CRD,TOTAL,TOT,CH,2018,56139549.0
PAS,PAS_CRD,TOTAL,TOT,CY,2018,10927101.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2018,17838221.0
PAS,PAS_CRD,TOTAL,TOT,DE,2018,222422361.0
PAS,PAS_CRD,TOTAL,TOT,DK,2018,34701139.0
PAS,PAS_CRD,TOTAL,TOT,EE,2018,2995528.0
PAS,PAS_CRD,TOTAL,TOT,EL,2018,54258826.0
PAS,PAS_CRD,TOTAL,TOT,ES,2018,220611429.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2018,1103387059.0
